DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-18,SCOM,Safaricom Plc,23.5,33.5,26.75,27,26.75,26.75,-,-,"3,904,800",-
03-Jan-18,SCOM,Safaricom Plc,23.5,33.5,26.75,27,26.75,26.75,-,-,"8,347,900",-
04-Jan-18,SCOM,Safaricom Plc,23.5,33.5,26.75,27.75,27,26.75,0.25,0.93%,"8,304,500",-
05-Jan-18,SCOM,Safaricom Plc,23.5,33.5,27,28.5,28,27,1,3.70%,"11,038,400",-
08-Jan-18,SCOM,Safaricom Plc,23.5,33.5,27.5,28.25,28,28,-,-,"6,873,500",-
09-Jan-18,SCOM,Safaricom Plc,23.5,33.5,27.75,28.25,27.75,28,-0.25,0.89%,"20,529,400",-
10-Jan-18,SCOM,Safaricom Plc,23.5,33.5,27.75,28,27.75,27.75,-,-,"12,920,600",-
11-Jan-18,SCOM,Safaricom Plc,23.5,33.5,27.75,28.25,27.75,27.75,-,-,"11,139,600",-
12-Jan-18,SCOM,Safaricom Plc,23.5,33.5,27.75,28.5,28.25,27.75,0.5,1.80%,"2,796,700",-
15-Jan-18,SCOM,Safaricom Plc,23.5,33.5,28.25,29.25,28.75,28.25,0.5,1.77%,"3,751,000",-
16-Jan-18,SCOM,Safaricom Plc,23.5,33.5,28.5,29.5,29,28.75,0.25,0.87%,"7,295,600",-
17-Jan-18,SCOM,Safaricom Plc,23.5,33.5,28.5,29.5,29,29,-,-,"10,302,400",-
18-Jan-18,SCOM,Safaricom Plc,23.5,33.5,29,29.5,29.25,29,0.25,0.86%,"9,393,700",-
19-Jan-18,SCOM,Safaricom Plc,23.5,33.5,29.25,29.75,29.25,29.25,-,-,"6,590,000",-
22-Jan-18,SCOM,Safaricom Plc,23.5,33.5,29,29.75,29.25,29.25,-,-,"8,827,800",-
23-Jan-18,SCOM,Safaricom Plc,23.5,33.5,29.25,29.75,29.5,29.25,0.25,0.85%,"16,964,400",-
24-Jan-18,SCOM,Safaricom Plc,23.5,33.5,29.5,29.75,29.5,29.5,-,-,"6,560,400",-
