DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume,Adjust
02-Jan-14,SCOM,Safaricom Plc,23.5,33.5,10.6,10.9,10.7,10.85,-0.15,1.38%,"3,505,300",-
03-Jan-14,SCOM,Safaricom Plc,23.5,33.5,10.75,10.95,10.8,10.7,0.1,0.93%,"2,712,300",-
06-Jan-14,SCOM,Safaricom Plc,23.5,33.5,10.8,11.15,11.05,10.8,0.25,2.31%,"9,518,700",-
07-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11,11.15,11.1,11.05,0.05,0.45%,"5,567,900",-
08-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.1,11.65,11.35,11.1,0.25,2.25%,"6,687,700",-
09-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.55,11.95,11.7,11.35,0.35,3.08%,"24,759,300",-
10-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.45,11.95,11.75,11.7,0.05,0.43%,"33,430,100",-
13-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.35,11.75,11.65,11.75,-0.1,0.85%,"19,464,800",-
14-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.45,11.75,11.65,11.65,-,-,"5,696,200",-
15-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.35,11.75,11.7,11.65,0.05,0.43%,"8,768,600",-
16-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.4,11.75,11.5,11.7,-0.2,1.71%,"9,563,700",-
17-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.5,11.6,11.5,11.5,-,-,"1,929,300",-
20-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.4,11.8,11.7,11.5,0.2,1.74%,"7,604,500",-
21-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.65,12,11.75,11.7,0.05,0.43%,"11,310,200",-
22-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.75,12.1,12,11.75,0.25,2.13%,"10,583,500",-
23-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.95,12.2,12.05,12,0.05,0.42%,"9,787,700",-
24-Jan-14,SCOM,Safaricom Plc,23.5,33.5,12.2,12.8,12.45,12.05,0.4,3.32%,"16,036,000",-
27-Jan-14,SCOM,Safaricom Plc,23.5,33.5,12.25,12.6,12.35,12.45,-0.1,0.80%,"43,172,300",-
28-Jan-14,SCOM,Safaricom Plc,23.5,33.5,12,12.4,12.05,12.35,-0.3,2.43%,"10,102,900",-
29-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.75,12.05,11.85,12.05,-0.2,1.66%,"14,127,300",-
30-Jan-14,SCOM,Safaricom Plc,23.5,33.5,11.4,11.8,11.5,11.85,-0.35,2.95%,"16,648,600",-
31-Jan-14,SCOM,Safaricom Plc,23.5,33.5,10.6,11.45,11,11.5,-0.5,4.35%,"12,358,600",-
03-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11,11.4,11.2,11,0.2,1.82%,"15,522,400",-
04-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.3,11.5,11.35,11.2,0.15,1.34%,"6,645,500",-
05-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.3,11.85,11.45,11.35,0.1,0.88%,"2,274,400",-
06-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.5,12.05,11.95,11.45,0.5,4.37%,"28,879,200",-
07-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.75,12,11.85,11.95,-0.1,0.84%,"8,470,400",-
10-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.55,11.85,11.75,11.85,-0.1,0.84%,"12,189,800",-
11-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.7,11.85,11.75,11.75,-,-,"14,579,100",-
12-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.75,11.95,11.8,11.75,0.05,0.43%,"5,417,600",-
13-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.65,11.8,11.7,11.8,-0.1,0.85%,"15,770,600",-
14-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.7,12,11.8,11.7,0.1,0.85%,"2,456,600",-
17-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.5,11.85,11.65,11.8,-0.15,1.27%,"9,360,200",-
18-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.45,11.65,11.5,11.65,-0.15,1.29%,"6,678,900",-
19-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.35,11.6,11.4,11.5,-0.1,0.87%,"10,003,200",-
20-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.3,11.5,11.4,11.4,-,-,"15,919,500",-
21-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.35,11.5,11.4,11.4,-,-,"11,717,000",-
24-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.35,11.5,11.45,11.4,0.05,0.44%,"9,234,400",-
25-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.4,11.75,11.55,11.45,0.1,0.87%,"10,625,600",-
26-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.55,11.75,11.65,11.55,0.1,0.87%,"6,333,900",-
27-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.55,11.8,11.65,11.65,-,-,"5,137,800",-
28-Feb-14,SCOM,Safaricom Plc,23.5,33.5,11.65,11.8,11.7,11.65,0.05,0.43%,"19,983,300",-
03-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.65,11.75,11.7,11.7,-,-,"2,948,800",-
04-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.7,11.8,11.7,11.7,-,-,"5,002,800",-
05-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.65,11.8,11.7,11.7,-,-,"16,394,100",-
06-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.7,11.9,11.75,11.7,0.05,0.43%,"27,446,000",-
07-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.7,11.85,11.75,11.75,-,-,"11,849,400",-
10-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.75,11.9,11.75,11.75,-,-,"7,072,200",-
11-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.75,11.9,11.8,11.75,0.05,0.43%,"5,713,100",-
12-Mar-14,SCOM,Safaricom Plc,23.5,33.5,11.75,12.1,11.9,11.8,0.1,0.85%,"3,238,500",-
13-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12,12.6,12.35,11.9,0.45,3.78%,"12,734,700",-
14-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12,12.35,12.05,12.35,-0.3,2.43%,"2,588,100",-
17-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12,12.3,12.1,12.05,0.05,0.41%,"6,354,500",-
18-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.1,12.3,12.2,12.1,0.1,0.83%,"11,639,300",-
19-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.2,12.5,12.3,12.2,0.1,0.82%,"3,057,400",-
20-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.6,12.45,12.3,0.15,1.22%,"27,550,400",-
21-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.4,12.65,12.55,12.45,0.1,0.80%,"28,834,000",-
24-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.1,12.7,12.35,12.55,-0.2,1.59%,"8,573,900",-
25-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.15,12.6,12.35,12.35,-,-,"3,438,300",-
26-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.6,12.45,12.35,0.1,0.81%,"15,823,300",-
27-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.1,12.4,12.35,12.45,-0.1,0.80%,"3,502,000",-
28-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.25,12.35,12.3,12.35,-0.05,0.40%,"15,324,500",-
31-Mar-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.4,12.35,12.3,0.05,0.41%,"12,780,900",-
01-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.35,12.5,12.35,12.35,-,-,"2,477,700",-
02-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.35,12.5,12.4,12.35,0.05,0.40%,"3,466,800",-
03-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.4,12.6,12.45,12.4,0.05,0.40%,"15,731,200",-
04-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.35,12.5,12.4,12.45,-0.05,0.40%,"2,400,000",-
07-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.35,12.6,12.45,12.4,0.05,0.40%,"18,909,000",-
08-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.45,12.35,12.45,-0.1,0.80%,"13,670,300",-
09-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.5,12.45,12.35,0.1,0.81%,"4,050,300",-
10-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.4,13,12.75,12.45,0.3,2.41%,"7,223,000",-
11-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.6,13,12.75,12.75,-,-,"123,202,200",-
14-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.7,13,12.85,12.75,0.1,0.78%,"22,422,500",-
15-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.8,13.3,13.1,12.85,0.25,1.95%,"12,531,300",-
16-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13.1,13.4,13.2,13.1,0.1,0.76%,"11,279,300",-
17-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13.1,13.3,13.2,13.2,-,-,"3,060,400",-
22-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13.1,13.3,13.2,13.2,-,-,"11,643,500",-
23-Apr-14,SCOM,Safaricom Plc,23.5,33.5,12.9,13.1,13,13.2,-0.2,1.52%,"14,446,200",-
24-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13,13.3,13.15,13,0.15,1.15%,"8,281,500",-
25-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13,13.2,13.05,13.15,-0.1,0.76%,"28,500,300",-
28-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13,13.1,13,13.05,-0.05,0.38%,"4,088,800",-
29-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13,13.2,13.05,13,0.05,0.38%,"3,296,700",-
30-Apr-14,SCOM,Safaricom Plc,23.5,33.5,13.1,13.2,13.1,13.05,0.05,0.38%,"69,200,000",-
02-May-14,SCOM,Safaricom Plc,23.5,33.5,13.05,13.2,13.05,13.1,-0.05,0.38%,"6,018,500",-
05-May-14,SCOM,Safaricom Plc,23.5,33.5,12.85,13.1,13,13.05,-0.05,0.38%,"13,778,900",-
06-May-14,SCOM,Safaricom Plc,23.5,33.5,12.7,13,12.8,13,-0.2,1.54%,"28,683,400",-
07-May-14,SCOM,Safaricom Plc,23.5,33.5,12.75,13,12.9,12.8,0.1,0.78%,"17,359,800",-
08-May-14,SCOM,Safaricom Plc,23.5,33.5,12.75,13,12.8,12.9,-0.1,0.78%,"27,769,900",-
09-May-14,SCOM,Safaricom Plc,23.5,33.5,12.75,13.05,12.85,12.8,0.05,0.39%,"36,351,500",-
12-May-14,SCOM,Safaricom Plc,23.5,33.5,12.8,13,12.9,12.85,0.05,0.39%,"4,138,900",-
13-May-14,SCOM,Safaricom Plc,23.5,33.5,12.75,13.1,12.85,12.9,-0.05,0.39%,"11,946,100",-
14-May-14,SCOM,Safaricom Plc,23.5,33.5,12.1,12.9,12.6,12.85,-0.25,1.95%,"12,960,100",-
15-May-14,SCOM,Safaricom Plc,23.5,33.5,12.5,12.7,12.6,12.6,-,-,"21,422,100",-
16-May-14,SCOM,Safaricom Plc,23.5,33.5,12.65,13.2,12.85,12.6,0.25,1.98%,"57,811,000",-
19-May-14,SCOM,Safaricom Plc,23.5,33.5,12.9,13.1,13,12.85,0.15,1.17%,"3,512,300",-
20-May-14,SCOM,Safaricom Plc,23.5,33.5,12.95,13.1,13,13,-,-,"12,051,700",-
21-May-14,SCOM,Safaricom Plc,23.5,33.5,13,13.2,13.05,13,0.05,0.38%,"55,250,100",-
22-May-14,SCOM,Safaricom Plc,23.5,33.5,12.85,13.1,13,13.05,-0.05,0.38%,"6,087,000",-
23-May-14,SCOM,Safaricom Plc,23.5,33.5,12.75,13.05,12.95,13,-0.05,0.38%,"2,740,100",-
26-May-14,SCOM,Safaricom Plc,23.5,33.5,12.95,13.05,13,12.95,0.05,0.39%,"2,205,600",-
27-May-14,SCOM,Safaricom Plc,23.5,33.5,12.95,13.05,12.95,13,-0.05,0.38%,"17,520,800",-
28-May-14,SCOM,Safaricom Plc,23.5,33.5,12.9,13,12.95,12.95,-,-,"23,771,200",-
29-May-14,SCOM,Safaricom Plc,23.5,33.5,12.9,13.05,12.95,12.95,-,-,"29,625,500",-
30-May-14,SCOM,Safaricom Plc,23.5,33.5,12.9,13.1,12.95,12.95,-,-,"16,305,600",-
03-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.95,12.8,12.95,-0.15,1.16%,"44,054,800",-
04-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.9,12.8,12.8,-,-,"19,833,200",-
05-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.95,12.8,12.8,-,-,"31,256,100",-
06-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.95,12.8,12.8,-,-,"1,601,800",-
09-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.95,12.85,12.8,0.05,0.39%,"16,148,100",-
10-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.9,12.8,12.85,-0.05,0.39%,"19,395,500",-
11-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,13.05,12.9,12.8,0.1,0.78%,"10,997,000",-
12-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.85,13,12.95,12.9,0.05,0.39%,"15,644,600",-
13-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.85,13,12.9,12.95,-0.05,0.39%,"4,039,300",-
16-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.95,12.85,12.9,-0.05,0.39%,"1,405,300",-
17-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.9,12.85,12.85,-,-,"14,527,700",-
18-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.9,12.8,12.85,-0.05,0.39%,"44,456,300",-
19-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.55,12.85,12.8,12.8,-,-,"8,809,600",-
20-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.75,12.9,12.8,12.8,-,-,"16,252,000",-
23-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.75,12.85,12.8,12.8,-,-,"8,832,500",-
24-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.5,12.8,12.65,12.8,-0.15,1.17%,"19,784,600",-
25-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12,12.7,12.55,12.65,-0.1,0.79%,"17,582,800",-
26-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.2,12.5,12.35,12.55,-0.2,1.59%,"24,167,500",-
27-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.35,12.55,12.45,12.35,0.1,0.81%,"22,856,800",-
30-Jun-14,SCOM,Safaricom Plc,23.5,33.5,12.45,12.6,12.45,12.45,-,-,"6,483,900",-
01-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.5,13,12.65,12.45,0.2,1.61%,"17,983,200",-
02-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.55,13.05,12.95,12.65,0.3,2.37%,"17,905,600",-
03-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.55,12.8,12.75,12.95,-0.2,1.54%,"1,593,600",-
04-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.65,12.8,12.7,12.75,-0.05,0.39%,"1,794,200",-
07-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.9,12.75,12.7,0.05,0.39%,"24,368,300",-
08-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.95,12.7,12.75,-0.05,0.39%,"67,818,500",-
09-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.65,12.85,12.7,12.7,-,-,"6,323,700",-
10-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.5,12.75,12.55,12.7,-0.15,1.18%,"10,893,200",-
11-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.2,12.6,12.4,12.55,-0.15,1.20%,"2,342,400",-
14-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.5,12.35,12.4,-0.05,0.40%,"11,875,900",-
15-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.3,12.45,12.3,12.35,-0.05,0.40%,"8,040,700",-
16-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.1,12.35,12.15,12.3,-0.15,1.22%,"12,245,800",-
17-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12,12.2,12.05,12.15,-0.1,0.82%,"24,871,900",-
18-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.05,12.25,12.1,12.05,0.05,0.41%,"15,452,000",-
21-Jul-14,SCOM,Safaricom Plc,23.5,33.5,11.85,12.15,12,12.1,-0.1,0.83%,"26,140,900",-
22-Jul-14,SCOM,Safaricom Plc,23.5,33.5,11.75,12.05,11.95,12,-0.05,0.42%,"19,815,700",-
23-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12,12.1,12.05,11.95,0.1,0.84%,"9,104,000",-
24-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12,12.1,12,12.05,-0.05,0.41%,"4,183,900",-
25-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12,12.35,12.2,12,0.2,1.67%,"24,481,200",-
28-Jul-14,SCOM,Safaricom Plc,23.5,33.5,11.9,12.3,12,12.2,-0.2,1.64%,"4,541,300",-
30-Jul-14,SCOM,Safaricom Plc,23.5,33.5,11.95,12.1,12.05,12,0.05,0.42%,"10,487,800",-
31-Jul-14,SCOM,Safaricom Plc,23.5,33.5,12.05,12.4,12.2,12.05,0.15,1.24%,"5,114,900",-
01-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.25,12.6,12.4,12.2,0.2,1.64%,"6,180,000",-
04-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.45,12.7,12.5,12.4,0.1,0.81%,"4,694,800",-
05-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.5,13,12.6,12.5,0.1,0.80%,"22,651,800",-
06-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.6,13,12.95,12.6,0.35,2.78%,"11,486,500",-
07-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.5,12.95,12.85,12.95,-0.1,0.77%,"16,411,500",-
08-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.55,12.9,12.8,12.85,-0.05,0.39%,"5,823,200",-
11-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.6,12.85,12.7,12.8,-0.1,0.78%,"3,686,000",-
12-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.6,12.95,12.8,12.7,0.1,0.79%,"4,408,800",-
13-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.65,12.85,12.75,12.8,-0.05,0.39%,"2,964,900",-
14-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.65,12.9,12.8,12.75,0.05,0.39%,"7,306,400",-
15-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.65,12.8,12.7,12.8,-0.1,0.78%,"1,016,100",-
18-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.85,12.7,12.7,-,-,"26,877,600",-
19-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.65,12.8,12.75,12.7,0.05,0.39%,"9,185,600",-
20-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.75,12.9,12.8,12.75,0.05,0.39%,"7,314,300",-
21-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.75,12.85,12.75,12.8,-0.05,0.39%,"20,898,300",-
22-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.8,12.75,12.75,-,-,"30,159,100",-
25-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.8,12.75,12.75,-,-,"2,583,600",-
26-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.75,12.8,12.75,12.75,-,-,"1,721,300",-
27-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.85,12.7,12.75,-0.05,0.39%,"30,994,100",-
28-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.7,12.85,12.75,12.7,0.05,0.39%,"1,977,000",-
29-Aug-14,SCOM,Safaricom Plc,23.5,33.5,12.75,13.05,12.95,12.75,0.2,1.57%,"13,574,100",-
01-Sep-14,SCOM,Safaricom Plc,23.5,33.5,12.95,13.3,13.15,12.95,0.2,1.54%,"2,737,900",-
02-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13,13.4,13.2,13.15,0.05,0.38%,"8,675,100",-
03-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13.2,13.5,13.4,13.2,0.2,1.52%,"12,300,800",-
04-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13.1,13.4,13.2,13.4,-0.2,1.49%,"6,146,000",-
05-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13.1,13.35,13.2,13.2,-,-,"1,138,700",-
08-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13.2,13.35,13.25,13.2,0.05,0.38%,"3,959,600",-
09-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13.2,13.3,13.25,13.25,-,-,"10,155,500",-
10-Sep-14,SCOM,Safaricom Plc,23.5,33.5,13,13.25,13.15,13.25,-0.1,0.75%,"13,203,700",-
11-Sep-14,SCOM,Safaricom Plc,23.5,33.5,12.85,13.15,12.95,13.15,-0.2,1.52%,"10,950,400",-
12-Sep-14,SCOM,Safaricom Plc,23.5,33.5,12.5,13,12.9,12.95,-0.05,0.39%,"12,283,000",-
15-Sep-14,SCOM,Safaricom Plc,23.5,33.5,12.85,13,12.9,12.9,-,-,"16,072,100",-
16-Sep-14,SCOM,Safaricom Plc,23.5,33.5,12.8,12.95,12.85,12.9,-0.05,0.39%,"15,424,700",-
17-Sep-14,SCOM,Safaricom Plc,23.5,33.5,12.15,12.8,12.5,12.85,-0.35,2.72%,"30,421,600",-
